id,RELEASETIME,FULLTIME,REPAYTIME,ITEM_NAME,ITEM_AMOUNT,ITEM_STATUS,ITEM_INTRODUCTION,LIFE_LOAN,MONEY_RATE,LOAN_TYPE,LOAN_USE,BONDING_COMPANY,DEADLINE,REPAYTYPE,BORROWER_NAME,BORROWER_SEX,BORROWER_AGE,BORROWER_EDUCATION,BORROWER_MARRIAGE,BORROWER_INDUSTRY,BORROWER_CITY,BORROWER_INCOME,BORROWER_HOUSE,BORROWER_CAR,REWARD
"27549",\N,\N,\N,"信必贷XBD-JKDB-JHDB-20150421-002","100000.00",\N,\N,"12个月","10.80",\N,"大数据风控 + 担保公司100%本息担保","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27550",\N,\N,\N,"信必贷XBD-JKDB-JHDB-20150421-003","50000.00",\N,\N,"12个月","10.80",\N,"大数据风控 + 担保公司100%本息担保","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27551",\N,\N,\N,"信必贷XBD-JKDB-JHDB-20150421-004","40000.00",\N,\N,"12个月","10.80",\N,"大数据风控 + 担保公司100%本息担保","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27552",\N,\N,\N,"信必贷XBD-JKDB-JHDB-20150421-005","200000.00",\N,\N,"12个月","10.80",\N,"大数据风控 + 担保公司100%本息担保","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27553",\N,\N,\N,"保必贷BBD-JKDB-JHDB-20150422-001","1700000.00",\N,\N,"6个月","9.60",\N,"担保公司100%本息担保 + 平台57《","上海骏合融资担保股份有限公司",\N,"固定日还息，到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27554",\N,\N,\N,"信必贷XBD-JKDB-JHDB-20150422-001","20000.00",\N,\N,"12个月","10.80",\N,"大数据风控 + 担保公司100%本息担保","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27555",\N,\N,\N,"信必贷XBD-JKDB-JHDB-20150422-002","200000.00",\N,\N,"12个月","10.80",\N,"大数据风控 + 担保公司100%本息担保","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27556",\N,\N,\N,"信必贷XBD-JKDB-JHDB-20150422-003","180000.00",\N,\N,"12个月","10.80",\N,"大数据风控 + 担保公司100%本息担保","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27557",\N,\N,\N,"车必贷CBD-JKDB-JHDB-20150423-001","110000.00",\N,\N,"3个月","9.60",\N,"车辆抵(质)押 + 担保公司100%本息","上海骏合融资担保股份有限公司",\N,"先息后本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27558",\N,\N,\N,"车必贷CBD-JKDB-JHDB-20150423-002","250000.00",\N,\N,"3个月","9.60",\N,"车辆抵(质)押 + 担保公司100%本息","上海骏合融资担保股份有限公司",\N,"先息后本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27559",\N,\N,\N,"信必贷XBD-JKDB-JHDB-20150423-001","100000.00",\N,\N,"12个月","10.80",\N,"大数据风控 + 担保公司100%本息担保","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27560",\N,\N,\N,"信必贷XBD-JKDB-JHDB-20150423-002","340000.00",\N,\N,"12个月","10.80",\N,"大数据风控 + 担保公司100%本息担保","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27561",\N,\N,\N,"信必贷XBD-JKDB-JHDB-20150423-003","80000.00",\N,\N,"12个月","10.80",\N,"大数据风控 + 担保公司100%本息担保","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27562",\N,\N,\N,"车必贷CBD-JKDB-JHDB-20150423-003","110000.00",\N,\N,"1个月","9.00",\N,"车辆抵(质)押 + 担保公司100%本息","上海骏合融资担保股份有限公司",\N,"先息后本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27563",\N,\N,\N,"车必贷CBD-JKDB-JHDB-20150423-004","100000.00",\N,\N,"1个月","9.00",\N,"车辆抵(质)押 + 担保公司100%本息","上海骏合融资担保股份有限公司",\N,"一次付息到期还本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27564",\N,\N,\N,"培训贷PXD-JK-20150423-001","15000.00",\N,\N,"12天","10.80",\N,"高质素借款人 + 机构100%本息担保 ","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27565",\N,\N,\N,"信必贷XBD-JKDB-JHDB-20150423-004","60000.00",\N,\N,"12个月","10.80",\N,"大数据风控 + 担保公司100%本息担保","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27566",\N,\N,\N,"车必贷CBD-JKDB-JHDB-20150424-001","400000.00",\N,\N,"1个月","9.00",\N,"车辆抵(质)押 + 担保公司100%本息","上海骏合融资担保股份有限公司",\N,"先息后本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27567",\N,\N,\N,"信必贷XBD-JKDB-JHDB-20150424-001","80000.00",\N,\N,"12个月","10.80",\N,"大数据风控 + 担保公司100%本息担保","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27568",\N,\N,\N,"信必贷XBD-JKDB-JHDB-20150424-003","220000.00",\N,\N,"12个月","10.80",\N,"大数据风控 + 担保公司100%本息担保","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27569",\N,\N,\N,"车必贷CBD-JKDB-JHDB-20150424-002","48000.00",\N,\N,"1个月","9.00",\N,"车辆抵(质)押 + 担保公司100%本息","上海骏合融资担保股份有限公司",\N,"先息后本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27570",\N,\N,\N,"车必贷CBD-JKDB-JHDB-20150424-019","120000.00",\N,\N,"1个月","9.00",\N,"车辆抵(质)押 + 担保公司100%本息","上海骏合融资担保股份有限公司",\N,"先息后本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27571",\N,\N,\N,"车必贷CBD-JKDB-JHDB-20150424-022","38000.00",\N,\N,"3个月","9.60",\N,"车辆抵(质)押 + 担保公司100%本息","上海骏合融资担保股份有限公司",\N,"先息后本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27572",\N,\N,\N,"车必贷CBD-JKDB-JHDB-20150424-024","66000.00",\N,\N,"3个月","9.60",\N,"车辆抵(质)押 + 担保公司100%本息","上海骏合融资担保股份有限公司",\N,"先息后本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27573",\N,\N,\N,"车必贷CBD-JKDB-JHDB-20150424-025","38000.00",\N,\N,"3个月","9.60",\N,"车辆抵(质)押 + 担保公司100%本息","上海骏合融资担保股份有限公司",\N,"先息后本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27574",\N,\N,\N,"信必贷XBD-JKDB-JHDB-20150424-004","150000.00",\N,\N,"12个月","10.80",\N,"大数据风控 + 担保公司100%本息担保","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27575",\N,\N,\N,"车必贷CBD-JKDB-JHDB-20150424-029","44500.00",\N,\N,"1个月","9.00",\N,"车辆抵(质)押 + 担保公司100%本息","上海骏合融资担保股份有限公司",\N,"先息后本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27576",\N,\N,\N,"车必贷CBD-JKDB-JHDB-20150424-032","44500.00",\N,\N,"1个月","9.00",\N,"车辆抵(质)押 + 担保公司100%本息","上海骏合融资担保股份有限公司",\N,"先息后本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27577",\N,\N,\N,"车必贷CBD-JKDB-JHDB-20150424-033","63000.00",\N,\N,"1个月","9.00",\N,"车辆抵(质)押 + 担保公司100%本息","上海骏合融资担保股份有限公司",\N,"先息后本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27578",\N,\N,\N,"车必贷CBD-JKDB-JHDB-20150424-034","55500.00",\N,\N,"1个月","9.00",\N,"车辆抵(质)押 + 担保公司100%本息","上海骏合融资担保股份有限公司",\N,"先息后本",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27579",\N,\N,\N,"信必贷XBD-JKDB-JHDB-20150424-005","100000.00",\N,\N,"12个月","10.80",\N,"大数据风控 + 担保公司100%本息担保","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27580",\N,\N,\N,"信必贷XBD-JKDB-JHDB-20150424-006","30000.00",\N,\N,"12个月","10.80",\N,"大数据风控 + 担保公司100%本息担保","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27581",\N,\N,\N,"信必贷XBD-JKDB-JHDB-20150424-007","150000.00",\N,\N,"12个月","10.80",\N,"大数据风控 + 担保公司100%本息担保","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27582",\N,\N,\N,"信必贷XBD-JKDB-JHDB-20150424-008","150000.00",\N,\N,"12个月","10.80",\N,"大数据风控 + 担保公司100%本息担保","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"27583",\N,\N,\N,"信必贷XBD-JKDB-JHDB-20150424-009","50000.00",\N,\N,"12个月","10.80",\N,"大数据风控 + 担保公司100%本息担保","上海骏合融资担保股份有限公司",\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
