id,RELEASETIME,FULLTIME,REPAYTIME,ITEM_NAME,ITEM_AMOUNT,ITEM_STATUS,ITEM_INTRODUCTION,LIFE_LOAN,MONEY_RATE,LOAN_TYPE,LOAN_USE,BONDING_COMPANY,DEADLINE,REPAYTYPE,BORROWER_NAME,BORROWER_SEX,BORROWER_AGE,BORROWER_EDUCATION,BORROWER_MARRIAGE,BORROWER_INDUSTRY,BORROWER_CITY,BORROWER_INCOME,BORROWER_HOUSE,BORROWER_CAR,REWARD
"28454",\N,\N,\N,"大众牌车辆抵押SL150824004","50000.00","24月",\N,\N,"20.00","车辆抵押",\N,\N,\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"无"
"28455",\N,\N,\N,"标致车辆抵押GY150824003","47000.00","24月",\N,\N,"20.00","车辆抵押",\N,\N,\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"无"
"28456",\N,\N,\N,"奥迪车辆质押DZ150824010","140000.00","1月",\N,\N,"16.00","车辆质押",\N,\N,\N,"按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"无"
"28457",\N,\N,\N,"马自达牌车辆抵押CD150824009","35000.00","2月",\N,\N,"16.50","车辆抵押",\N,\N,\N,"按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"无"
"28458",\N,\N,\N,"现代牌车辆抵押CD150824008","45000.00","3月",\N,\N,"17.00","车辆抵押",\N,\N,\N,"按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"无"
"28459",\N,\N,\N,"凯迪拉克车辆质押SL150824007","70000.00","1月",\N,\N,"18.00","车辆质押",\N,\N,\N,"按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"无"
"28460",\N,\N,\N,"奇瑞E3车辆抵押BJ150824002","25000.00","12月",\N,\N,"19.00","车辆抵押",\N,\N,\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"无"
"28461",\N,\N,\N,"菱致车辆抵押BJ150824001","28000.00","1月",\N,\N,"16.00","车辆抵押",\N,\N,\N,"按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"无"
"28462",\N,\N,\N,"日产牌车辆抵押LZ150824006","35000.00","1月",\N,\N,"16.00","车辆抵押",\N,\N,\N,"按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"无"
"28463",\N,\N,\N,"凯迪拉克车辆质押ZG150824005","70000.00","1月",\N,\N,"16.00","车辆质押",\N,\N,\N,"按月付息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"无"
"28464",\N,\N,\N,"奔驰车辆抵押GX150823010","300000.00","12月",\N,\N,"19.00","车辆抵押",\N,\N,\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"无"
"28465",\N,\N,\N,"奥迪车辆抵押GY150823009","80000.00","12月",\N,\N,"19.00","车辆抵押",\N,\N,\N,"等额本息",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"无"
