id,RELEASETIME,FULLTIME,REPAYTIME,ITEM_NAME,ITEM_AMOUNT,ITEM_STATUS,ITEM_INTRODUCTION,LIFE_LOAN,MONEY_RATE,LOAN_TYPE,LOAN_USE,BONDING_COMPANY,DEADLINE,REPAYTYPE,BORROWER_NAME,BORROWER_SEX,BORROWER_AGE,BORROWER_EDUCATION,BORROWER_MARRIAGE,BORROWER_INDUSTRY,BORROWER_CITY,BORROWER_INCOME,BORROWER_HOUSE,BORROWER_CAR,REWARD
"78894",\N,\N,\N,"店面装修，急需资金周转","190000.000000",\N,"本人位于辽宁省河南省南阳市，因店面扩大装修，需要资金周转，望大家多多支持。","15天",\N,"8.000000",\N,\N,\N,"到期还本付息","jku908h",\N,"38.000000","本科","已婚",\N,"河南省南阳市","30001-50000",\N,"有","7.000000"
"78895",\N,\N,\N,"房屋装修，需要资金周转","180000.000000",\N,"本人位于湖北省宜昌市，因房屋装修，需要资金周转，望大家支持。","15天",\N,"8.000000",\N,\N,\N,"到期还本付息","shendun820520",\N,"37.000000","专科","已婚",\N,"湖北省宜昌市","10001-30000",\N,\N,"7.000000"
"78896",\N,\N,\N,"扩大经营 需要资金周转","180000.000000",\N,"本人位于吉林省吉林市，因扩大经营，需要资金周转，望大家支持。","15天",\N,"8.000000",\N,\N,\N,"到期还本付息","yanwx16bk",\N,"38.000000","专科","已婚",\N,"吉林省吉林市","10001-30000",\N,\N,"7.000000"
"78897",\N,\N,\N,"房屋装修，需要资金周转","120000.000000",\N,"本人位于和河南省郑州市，因房屋装修，需要资金周转，望大家支持。","15天",\N,"8.000000",\N,\N,\N,"到期还本付息","yutongxb",\N,"33.000000","专科","已婚",\N,"河南省郑州市","8001-10000",\N,\N,"7.000000"
"78898",\N,\N,\N,"进一批原材料，需要资金周转
                    普通标","56480.000000",\N,\N,"6个月",\N,"15.000000",\N,\N,\N,"按月付息到期还本","ZY19820919",\N,"44.000000","专科","已婚",\N,"福建厦门","10001-30000",\N,\N,\N
"78899",\N,\N,\N,"扩大规模 需资金周转","130000.000000",\N,"本人位于重庆市南岸区，因公司扩大规模，需要资金周转一下，望大家支持.","15天",\N,"8.000000",\N,\N,\N,"到期还本付息","xigeshuijing",\N,"40.000000","专科","已婚",\N,"重庆市南岸区","50000以上",\N,"有","7.000000"
"78900",\N,\N,\N,"诊所扩建 需资金周转
                    					优选理财","380000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert38",\N,"35.000000","本科","已婚",\N,"山西省太原市","50000以上",\N,"有","2.000000"
"78901",\N,\N,\N,"扩大经营 需要资金周转
                    					优选理财","400000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert35",\N,"31.000000","本科","已婚",\N,"四川省理县","50000以上",\N,"有","2.000000"
"78902",\N,\N,\N,"企业经营 需资金周转
                    					优选理财","500000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert34",\N,"35.000000","本科","已婚",\N,"山西省忻州市","50000以上",\N,"有","2.000000"
"78903",\N,\N,\N,"日常消费 需资金周转","90000.000000",\N,"本人位于广西柳城县，因日常消费急需部分资金周转，望大家支持。","15天",\N,"8.000000",\N,\N,\N,"到期还本付息","xfghhjy679",\N,"34.000000","本科","已婚",\N,"广西柳城县","10001-30000",\N,"有","7.000000"
"78904",\N,\N,\N,"公司经营 需要资金周转","200000.000000",\N,"本人为公司法人，位于湖南省邵东县，因公司经营，需要资金周转，望大家支持。","15天",\N,"8.000000",\N,\N,\N,"到期还本付息","zdghjj",\N,"48.000000","高中及以下","已婚",\N,"湖南省邵东县","30001-50000",\N,"有","7.000000"
"78905",\N,\N,\N,"公司扩大厂房，需要资金周转
                    普通标","70600.000000",\N,\N,"6个月",\N,"15.000000",\N,\N,\N,"按月付息到期还本","vs197278",\N,"44.000000","专科","已婚",\N,"上海市徐汇区","30001-50000",\N,"有",\N
"78906",\N,\N,\N,"扩大经营需要资金周转
                    普通标",\N,\N,\N,"12个月",\N,\N,\N,\N,\N,"按月付息到期还本","3fBf46",\N,\N,"本科","已婚",\N,"福建厦门","5001-8000",\N,"有",\N
"78907",\N,\N,\N,"扩大经营 需要资金周转","220000.000000",\N,"本人位于河北省唐山市，因公司要扩大经营，需要资金周转，请大家多多支持。","15天",\N,"8.000000",\N,\N,\N,"到期还本付息","huwanjia",\N,"31.000000","专科","已婚",\N,"河北唐山","10001-30000",\N,\N,"7.000000"
"78908",\N,\N,\N,"饭店装修，急需资金周转
                    					优选理财","400000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert31",\N,"25.000000","研究生","已婚",\N,"山西省交城县","10001-30000",\N,"有","2.000000"
"78909",\N,\N,\N,"房余贷20150619期
                    					优选理财","300000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert28",\N,"43.000000","高中及以下","已婚",\N,"山西省太原市","50000以上",\N,"有","2.000000"
"78910",\N,\N,\N,"做服装批发，需要资金周转
                    普通标","180000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert23",\N,"28.000000","本科","已婚",\N,"福建省厦门市","30001-50000",\N,"有",\N
"78911",\N,\N,\N,"采购原材料需要资金周转
                    					优选理财","240000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert21",\N,"57.000000","高中及以下","已婚",\N,"河南省开封市","30001-50000",\N,"有","2.000000"
"78912",\N,\N,\N,"做外贸生意，需要资金周转
                    					优选理财","250000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert20",\N,"43.000000","高中及以下","已婚",\N,"福建省厦门市","30001-50000",\N,"有","2.000000"
"78913",\N,\N,\N,"因做服装生意 需资金支持
                    普通标","150000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert19",\N,"52.000000","高中及以下","已婚",\N,"吉林省吉林市","30001-50000",\N,"有",\N
"78914",\N,\N,\N,"扩大厂房 需要资金周转
                    					优选理财","350000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert30",\N,"22.000000","研究生","已婚",\N,"甘肃省陇西县","30001-50000",\N,"有","2.000000"
"78915",\N,\N,\N,"扩大经营，需要资金周转
                    普通标","56480.000000",\N,\N,"6个月",\N,"15.000000",\N,\N,\N,"按月付息到期还本","wangdai007",\N,"43.000000","专科","已婚",\N,"山东省临朐市","10001-30000",\N,\N,\N
"78916",\N,\N,\N,"企业经营 需资金周转
                    					优选理财",\N,\N,\N,"3个月",\N,\N,\N,\N,\N,"按月付息到期还本","qwert15",\N,\N,"本科","已婚",\N,"云南省昆明市","10001-30000",\N,"有",\N
"78917",\N,\N,\N,"店面装修，急需资金周转
                    					优选理财",\N,\N,\N,"6个月",\N,\N,\N,\N,\N,"按月付息到期还本","qwert24",\N,\N,"专科","已婚",\N,"江苏省无锡市","30001-50000",\N,"有",\N
"78918",\N,\N,\N,"扩大经营 需要资金周转
                    					优选理财",\N,\N,\N,"3个月",\N,\N,\N,\N,\N,"按月付息到期还本","qwert22",\N,\N,"高中及以下","已婚",\N,"山东省淄博市","10001-30000",\N,"有",\N
"78919",\N,\N,\N,"扩大经营 需要资金周转
                    普通标","130000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert27",\N,"50.000000","高中及以下","已婚",\N,"河南省洛阳市","10001-30000",\N,"有",\N
"78920",\N,\N,\N,"生活周转 需要资金支持
                    普通标",\N,\N,\N,"12个月",\N,\N,\N,\N,\N,"按月付息到期还本","qwert25",\N,\N,"研究生","已婚",\N,"吉林省永吉县","10001-30000",\N,"有",\N
"78921",\N,\N,\N,"业务量提升 急需资金周转
                    					优选理财",\N,\N,\N,"6个月",\N,\N,\N,\N,\N,"按月付息到期还本","qwert26",\N,\N,"高中及以下","已婚",\N,"吉林省蛟河市","10001-30000",\N,"有",\N
"78922",\N,\N,\N,"房屋装修 需要资金周转
                    					优选理财",\N,\N,\N,"3个月",\N,\N,\N,\N,\N,"按月付息到期还本","qwert14",\N,\N,"高中及以下","已婚",\N,"湖北省宜昌市","10001-30000",\N,"有",\N
"78923",\N,\N,\N,"业务较忙  需加量货车
                    普通标","56480.000000",\N,\N,"3个月",\N,"11.000000",\N,\N,\N,"按月付息到期还本","muying",\N,"57.000000","研究生","已婚",\N,"长沙市开福区","10001-30000",\N,"有",\N
"78924",\N,\N,\N,"个体经营 需资金周转
                    普通标",\N,\N,\N,"3个月",\N,\N,\N,\N,\N,"按月付息到期还本","qwert18",\N,\N,"高中及以下","已婚",\N,"重庆市永川区","10001-30000",\N,"有",\N
"78925",\N,\N,\N,"个体经营 需资金周转
                    					优选理财","320000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert13",\N,"29.000000","本科","已婚",\N,"吉林省大安市","30001-50000",\N,"有","2.000000"
"78926",\N,\N,\N,"公司经营 需要资金周转
                    					优选理财","270000.000000",\N,\N,"1个月",\N,"8.000000",\N,\N,\N,"按月付息到期还本","qwert12",\N,"46.000000","高中及以下","已婚",\N,"吉林省吉林市","30001-50000",\N,"有","2.000000"
