id,RELEASETIME,FULLTIME,REPAYTIME,ITEM_NAME,ITEM_AMOUNT,ITEM_STATUS,ITEM_INTRODUCTION,LIFE_LOAN,MONEY_RATE,LOAN_TYPE,LOAN_USE,BONDING_COMPANY,DEADLINE,REPAYTYPE,BORROWER_NAME,BORROWER_SEX,BORROWER_AGE,BORROWER_EDUCATION,BORROWER_MARRIAGE,BORROWER_INDUSTRY,BORROWER_CITY,BORROWER_INCOME,BORROWER_HOUSE,BORROWER_CAR,REWARD
"17279",\N,\N,"","借款用于进货","50,000",\N,\N,"12","18",\N,\N,\N,\N,"按月等额本息还款","dl10001967",\N,"27","本科","未婚","贸易|批发|零售|租赁业","大连","10万-50万","无","无",\N
"17280",\N,\N,"","借款用于资金周转（沈阳）","50,000",\N,\N,"12","18",\N,\N,\N,\N,"按月等额本息还款","sy10002534",\N,"50","研究生或以上","未婚","生产|加工|制造","沈阳","5000-1万","无","无",\N
"17281",\N,\N,"","借款用于备货","50,000",\N,\N,"10","18",\N,\N,\N,\N,"按月等额本息还款","sz10000808",\N,"30","大专","已婚","IT|通信|电子|互联网","深圳","10万-50万","无","无",\N
"17282",\N,\N,"","借款用于扩大经营（沈阳鞍山）","20,000",\N,\N,"6","18",\N,\N,\N,\N,"按月等额本息还款","sas10000328",\N,"52","高中或以下","未婚","贸易|批发|零售|租赁业","鞍山","2万-5万","无","无",\N
"17283",\N,\N,"","借款用于进货（沈阳）","10,000",\N,\N,"12","18",\N,\N,\N,\N,"按月等额本息还款","sy10001415",\N,"52","高中或以下","已婚","生产|加工|制造","沈阳","5000元以下","无","无",\N
"17284",\N,\N,"","贷款用于收购花生","70,000",\N,\N,"12","18",\N,\N,\N,\N,"按月等额本息还款","cwz000927",\N,"43","高中或以下","未婚","服务业","万州","10万-50万","无","无",\N
"17285",\N,\N,"","借款用于购货","60,000",\N,\N,"10","18",\N,\N,\N,\N,"按月等额本息还款","cd10001146",\N,"35","高中或以下","未婚","IT|通信|电子|互联网","成都","2万-5万","无","无",\N
"17286",\N,\N,"","贷款主要用于扩大经营","50,000",\N,\N,"12","18",\N,\N,\N,\N,"按月等额本息还款","cd10002050",\N,"30","高中或以下","未婚","服务业","成都","5000-1万","无","无",\N
"17287",\N,\N,"","借款用于进货","50,000",\N,\N,"12","18",\N,\N,\N,\N,"按月等额本息还款","dl10001945",\N,"47","高中或以下","已婚","贸易|批发|零售|租赁业","大连","10万-50万","无","无",\N
"17288",\N,\N,"","借款用于装修","40,000",\N,\N,"12","18",\N,\N,\N,\N,"按月等额本息还款","sz10000781",\N,"27","本科","未婚","IT|通信|电子|互联网","深圳","5000-1万","无","无",\N
"17289",\N,\N,"","贷款主要用于进货","20,000",\N,\N,"6","18",\N,\N,\N,\N,"按月等额本息还款","cd10002075",\N,"30","高中或以下","已婚","贸易|批发|零售|租赁业","成都","5000-1万","无","无",\N
"17290",\N,\N,"","借款用于扩大经营","40,000",\N,\N,"12","18",\N,\N,\N,\N,"按月等额本息还款","sz10000786",\N,"36","大专","已婚","生产|加工|制造","深圳","50万以上","无","无",\N
"17291",\N,\N,"","借款用于扩大经营","60,000",\N,\N,"12","18",\N,\N,\N,\N,"按月等额本息还款","dl10001927",\N,"42","高中或以下","已婚","服务业","大连","5000元以下","无","无",\N
"17292",\N,\N,"","借款用于装修","20,000",\N,\N,"18","18",\N,\N,\N,\N,"按月等额本息还款","dl10001925",\N,"40","大专","已婚","生产|加工|制造","大连","5000元以下","无","无",\N
